CPU.STAT.usr,CPU.STAT.nice,CPU.STAT.sys,CPU.STAT.iowait,CPU.STAT.irq,CPU.STAT.soft,CPU.STAT.steal,CPU.STAT.guest,CPU.STAT.util,CPU.STAT.cutil,STORAGE.STAT.rs,STORAGE.STAT.ws,STORAGE.STAT.rMBs,STORAGE.STAT.wMBs,STORAGE.STAT.rrqm,STORAGE.STAT.wrqm,STORAGE.STAT.rareq-sz,STORAGE.STAT.wareq-sz,STORAGE.STAT.r_await,STORAGE.STAT.w_await,STORAGE.STAT.util,STORAGE.STAT.aqu-sz,NET.STAT.rxkBs,NET.STAT.txkBs,NET.STAT.rxpcks,NET.STAT.txpcks,NET.STAT.ifutil,NET.ESTAT.errs,NET.ESTAT.util,MEM.MEMINFO.MemTotal,MEM.MEMINFO.MemFree,MEM.MEMINFO.MemAvailable,MEM.MEMINFO.SwapTotal,MEM.MEMINFO.Dirty,MEM.BANDWIDTH.Total_Util,PERF.STAT.IPC,PERF.STAT.CACHE-MISS-RATIO,PERF.STAT.MPKI,PERF.STAT.ITLB-LOAD-MISS-RATIO,PERF.STAT.DTLB-LOAD-MISS-RATIO,PERF.STAT.SBPI,PERF.STAT.SBPC,MEM.VMSTAT.procs.b,MEM.VMSTAT.memory.swpd,MEM.VMSTAT.io.bo,MEM.VMSTAT.system.in,MEM.VMSTAT.system.cs,MEM.VMSTAT.util.swap,MEM.VMSTAT.util.cpu,MEM.VMSTAT.procs.r,SYS.TASKS.procs,SYS.TASKS.cswchs,SYS.LDAVG.runq-sz,SYS.LDAVG.plist-sz,SYS.LDAVG.ldavg-1,SYS.LDAVG.ldavg-5,SYS.FDUTIL.fd-util
0.15,0,0.05,0.0,1.55,0.1,0,0,1.85,1.85,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.1,0.13,2,2,0.0,0,0,31380316,25859976,27250588,16379900,24,0.112,0.471,25.992,3.208,-1,-1,1,0.471,0,0,0,36034,1279,0,2,0,0.0,1187.0,0,802,0.14,0.13,0
0.25,0,0.1,0.0,1.15,0.0,0,0,1.5,1.51,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,5.01,1.72,12,16,0.04,0,0,31380316,25860984,27251588,16379900,24,0.148,0.634,30.496,3.512,-1,-1,1,0.634,0,0,0,36012,1406,0,1,3,0.0,1394.0,3,807,0.14,0.13,0
0.3,0,0.35,0.0,1.4,0.1,0,0,2.15,2.15,0,1,0.0,0.0,0,0.0,0.0,4.0,0,9.0,0.9,0.01,0.1,0.06,2,1,0.0,0,0,31380316,25849872,27240484,16379900,24,0.3,0.702,34.143,5.112,-1,-1,1,0.702,0,0,4,36031,2254,0,2,1,6.0,2236.0,0,802,0.14,0.13,0
0.0,0,0.1,0.0,1.2,0.15,0,0,1.45,1.61,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,2.96,0.3,43,4,0.02,0,0,31380316,25841632,27232244,16379900,20,0.098,0.471,26.343,3.348,-1,-1,1,0.471,0,0,0,35182,1438,0,2,1,0.0,1366.0,0,802,0.21,0.15,0
0.05,0,0.1,0.0,1.5,0.1,0,0,1.75,1.84,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.15,0.19,3,3,0.0,0,0,31380316,25844972,27235584,16379900,20,0.16,0.473,31.902,4.979,-1,-1,1,0.473,0,0,0,35782,1377,0,2,0,3.0,1375.0,1,803,0.21,0.15,0
0.05,0,0.15,0.0,1.2,0.15,0,0,1.55,1.63,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.05,0.06,1,1,0.0,0,0,31380316,25855760,27246384,16379900,28,0.1,0.448,30.08,3.934,-1,-1,1,0.448,0,0,0,36263,1261,0,2,0,0.0,1166.0,0,802,0.21,0.15,0
0.25,0,0.25,0.0,1.4,0.2,0,0,2.1,2.1,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,31380316,25859928,27250556,16379900,28,0.41,0.664,31.445,4.764,-1,-1,1,0.664,0,0,0,37175,2232,0,2,2,6.0,2171.0,2,807,0.19,0.14,0
0.15,0,0.05,0.0,1.4,0.0,0,0,1.6,1.6,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.15,0.26,3,4,0.0,0,0,31380316,25854476,27245112,16379900,28,0.128,0.43,15.885,2.924,-1,-1,1,0.43,0,0,0,34159,1151,0,2,3,0.0,1143.0,0,802,0.19,0.14,0
0.15,0,0.05,0.0,1.31,0.1,0,0,1.61,1.61,0,12,0.0,0.08,0,0.0,0.0,6.71,0,8.58,1.6,0.09,0.1,0.13,2,2,0.0,0,0,31380316,25862596,27253232,16379900,28,0.33,0.769,37.764,5.153,-1,-1,1,0.769,0,0,80,35325,1639,0,2,1,0.0,1556.0,0,805,0.19,0.14,0
0.2,0,0.05,0.0,1.4,0.15,0,0,1.8,1.8,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,4.94,1.48,12,13,0.04,0,0,31380316,25849040,27239676,16379900,28,0.158,0.451,22.942,2.834,-1,-1,1,0.451,0,0,0,35331,1505,0,2,0,0.0,1472.0,0,802,0.19,0.14,0
0.25,0,0.2,0.0,1.5,0.1,0,0,2.05,2.04,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,31380316,25847236,27237872,16379900,32,0.224,0.449,21.376,4.048,-1,-1,1,0.449,0,0,0,35424,1549,0,2,1,0.0,1505.0,0,802,0.18,0.14,0
