sent_bytes,recv_bytes,sent_count,recv_count,disk_read_bytes,disk_write_bytes,disk_read_count,disk_write_count,cpu_usage,disk_read_wait,disk_write_wait,mem_usage,task_nvcsw,task_nivcsw,workload.type,workload.appname
49818,103498002,363,6562,6563328,19910656,266,381,0,0,272442701,720124,80699374,7601486,throughput_performance,influxdb
47472,98673573,344,6250,24672256,77996032,298,484,0,0,324986803,721268,64744306,6090272,throughput_performance,influxdb
53682,110545503,391,7017,6343680,20729856,272,419,0,0,258233565,722572,72549664,6827434,throughput_performance,influxdb
53268,110173014,388,6984,6169600,20869120,275,440,0,0,263101550,723914,68095338,6374532,throughput_performance,influxdb
54234,112035367,390,7102,8839680,21258240,287,410,0,0,276333594,725272,64639640,6078722,throughput_performance,influxdb
53682,110328272,393,7010,4847616,21065728,264,406,0,0,270689831,726645,81351186,7621226,throughput_performance,influxdb
53544,109004843,383,6921,5736960,20803584,262,408,0,0,254431880,728023,60792056,5677750,throughput_performance,influxdb
52992,110472969,386,7025,6146048,20926464,289,407,0,0,298271272,729372,60838298,5644918,throughput_performance,influxdb
48990,100648329,351,6374,5359104,19718144,269,393,0,0,303478650,730750,85095602,7938064,throughput_performance,influxdb
49956,101208803,362,6419,43422208,62918656,329,462,0,0,364873819,731916,74644152,6954486,throughput_performance,influxdb
8556,14929798,62,964,1378816,7147520,48,84,0,0,44327300,731916,9685620,901190,throughput_performance,influxdb
48852,97391042,352,6158,12768256,24793088,214,331,0,0,179860093,1071932,2145858,191108,throughput_performance,influxdb
49542,102255701,356,6505,7534080,20271104,245,369,0,0,262972767,1073165,54273432,4634844,throughput_performance,influxdb
47472,96454028,345,6141,30656000,41095168,289,379,0,0,379374568,1073165,49070864,4147420,throughput_performance,influxdb
42228,87698565,306,5553,25035264,46022656,253,343,0,0,328015093,1075282,38331538,3283394,throughput_performance,influxdb
47748,96081660,342,6120,24347648,41095168,277,382,0,0,345888327,1075282,46624634,3992520,throughput_performance,influxdb
40710,83792044,295,5305,21133312,74534912,243,404,0,0,247541847,1077573,36702214,3195182,throughput_performance,influxdb
45678,94574143,328,5985,28334592,40652800,299,402,0,0,411848696,1077573,44299706,3821732,throughput_performance,influxdb
41676,86824239,302,5482,29712896,48410624,266,372,0,0,358653626,1079809,67524602,5882978,throughput_performance,influxdb
48162,96891668,348,6154,20448256,63033344,278,433,0,0,307102474,1079723,42512498,3769782,throughput_performance,influxdb
45540,95868091,333,6072,12437504,24236032,222,310,0,0,249197082,1082174,46678566,4149082,throughput_performance,influxdb
51060,104825965,369,6649,9697280,20807680,271,379,0,0,286137078,1083369,48077802,4280490,throughput_performance,influxdb
49956,102066760,364,6472,6119424,21213184,249,354,0,0,262854483,1084712,46324628,4157184,throughput_performance,influxdb
50646,104929518,362,6653,4801536,21016576,247,356,0,0,247326498,1084712,17564740,1561962,throughput_performance,influxdb
47472,97339755,343,6176,4841984,19992576,243,349,0,0,250938214,0,0,0,throughput_performance,influxdb
46092,95424038,332,6051,10142208,40689664,247,377,0,0,260253759,1087307,45247266,4097744,throughput_performance,influxdb
44022,88692843,319,5623,26619904,55328768,248,384,0,0,259334105,1089534,56698368,5118352,throughput_performance,influxdb
49680,101679001,354,6452,4917248,20307968,244,377,0,0,229860865,1090722,48862172,4403758,throughput_performance,influxdb
50646,104835417,365,6651,6228992,21151744,263,378,0,0,289165353,1092019,45043608,4050210,throughput_performance,influxdb
49818,102244545,359,6502,8930304,21176320,274,399,0,0,290211961,1093349,49153774,4386712,throughput_performance,influxdb
50370,104116248,364,6619,6352896,20901888,258,366,0,0,261113473,1094635,67053116,6051040,throughput_performance,influxdb
37674,73824212,274,4722,6606848,17047552,198,285,0,0,206310968,1095964,40021026,3562084,throughput_performance,influxdb
54234,109097202,393,6914,5800448,23175168,243,376,0,0,228058901,823349,1937867,129170,throughput_performance,influxdb
50646,108086301,364,6831,5900800,23310336,253,382,0,0,228242040,824733,2362314,153336,throughput_performance,influxdb
52992,106945032,385,6784,4814336,23597056,256,387,0,0,248422700,826101,2839722,184570,throughput_performance,influxdb
51060,107557564,370,6828,4611584,23314432,235,372,0,0,233250834,827471,3297908,211330,throughput_performance,influxdb
49818,106153029,363,6714,4494848,22880256,240,389,0,0,190036131,828851,3418908,221302,throughput_performance,influxdb
48990,100731153,355,6364,5489152,22409216,252,349,0,0,265127858,830209,4213738,281484,throughput_performance,influxdb
49128,102088052,353,6451,17869824,64983040,284,449,0,0,309405110,831291,4345606,300474,throughput_performance,influxdb
52164,108600145,375,6889,6956032,23212032,235,357,0,0,215256312,832615,4379254,312392,throughput_performance,influxdb
52302,108624873,379,6878,5622784,23719936,247,361,0,0,243213063,834021,4252482,315942,throughput_performance,influxdb
52854,108015275,384,6852,4719616,23617536,236,374,0,0,259227943,835417,1715650,128012,throughput_performance,influxdb
51474,107674017,373,6824,4929536,23355392,259,384,0,0,247034380,836807,3953348,303912,throughput_performance,influxdb
51198,104800290,369,6626,5720576,23027712,249,363,0,0,231385773,838186,6545350,500318,throughput_performance,influxdb
52992,111224092,385,7033,5337600,23650304,241,380,0,0,224048120,839529,6330278,480498,throughput_performance,influxdb
